candidate_rows,group_rows,layer,main_rows,mode,pack,position_group,prompt_runs,zeroing_rows
6144,27648,10,3072,full,primary,answer_adjacent_only,96,122880
6144,27648,10,3072,full,primary,visual_answer,96,122880
6144,27648,10,3072,full,primary,visual_only,96,122880
0,0,11,0,full,primary,answer_adjacent_only,0,0
0,0,11,0,full,primary,visual_answer,0,0
6144,0,11,3072,full,primary,visual_only,96,0
0,0,12,0,full,primary,answer_adjacent_only,0,0
0,0,12,0,full,primary,visual_answer,0,0
0,0,12,0,full,primary,visual_only,0,0
0,0,13,0,full,primary,answer_adjacent_only,0,0
0,0,13,0,full,primary,visual_answer,0,0
0,0,13,0,full,primary,visual_only,0,0
0,0,14,0,full,primary,answer_adjacent_only,0,0
0,0,14,0,full,primary,visual_answer,0,0
0,0,14,0,full,primary,visual_only,0,0
0,0,15,0,full,primary,answer_adjacent_only,0,0
0,0,15,0,full,primary,visual_answer,0,0
0,0,15,0,full,primary,visual_only,0,0
0,0,16,0,full,primary,answer_adjacent_only,0,0
0,0,16,0,full,primary,visual_answer,0,0
0,0,16,0,full,primary,visual_only,0,0
0,0,17,0,full,primary,answer_adjacent_only,0,0
0,0,17,0,full,primary,visual_answer,0,0
0,0,17,0,full,primary,visual_only,0,0
