asset_id,position_group,direction,comparison_count,mean_evidence_effect,mean_control_effect,mean_evidence_minus_control,positive_count
qwen2p5vl_plt,answer_adjacent_text,corrupt,6,0.20833333333333334,0.020833333333333332,0.1875,6
qwen2p5vl_plt,answer_adjacent_text,restore,6,0.2864583333333333,-0.0078125,0.2942708333333333,6
qwen2p5vl_plt,top_hidden_delta,corrupt,6,0.0,0.0,0.0,2
qwen2p5vl_plt,top_hidden_delta,restore,6,-0.010416666666666666,-0.006510416666666667,-0.00390625,2
qwen2p5vl_plt,top_hidden_delta_plus_answer_adjacent,corrupt,6,0.10416666666666667,0.018229166666666668,0.0859375,5
qwen2p5vl_plt,top_hidden_delta_plus_answer_adjacent,restore,6,0.08333333333333333,-0.0013020833333333333,0.08463541666666667,5
qwen2p5vl_clt,answer_adjacent_text,corrupt,6,0.9895833333333334,-0.03125,1.0208333333333333,6
qwen2p5vl_clt,answer_adjacent_text,restore,6,0.8229166666666666,-0.08072916666666667,0.9036458333333334,6
qwen2p5vl_clt,top_hidden_delta,corrupt,6,-0.010416666666666666,-0.018229166666666668,0.0078125,2
qwen2p5vl_clt,top_hidden_delta,restore,6,0.005208333333333333,-0.010416666666666666,0.015625,4
qwen2p5vl_clt,top_hidden_delta_plus_answer_adjacent,corrupt,6,0.4583333333333333,0.033854166666666664,0.4244791666666667,6
qwen2p5vl_clt,top_hidden_delta_plus_answer_adjacent,restore,6,0.453125,0.0026041666666666665,0.4505208333333333,5
llava15_clt,answer_adjacent_text,corrupt,6,0.010416666666666666,0.0003255208333333333,0.010091145833333334,4
llava15_clt,answer_adjacent_text,restore,6,0.014973958333333334,0.0013020833333333333,0.013671875,5
llava15_clt,top_hidden_delta,corrupt,6,-0.018229166666666668,0.0026041666666666665,-0.020833333333333332,4
llava15_clt,top_hidden_delta,restore,6,-0.0032552083333333335,0.0006510416666666666,-0.00390625,2
llava15_clt,top_hidden_delta_plus_answer_adjacent,corrupt,6,-0.016927083333333332,0.0006510416666666666,-0.017578125,4
llava15_clt,top_hidden_delta_plus_answer_adjacent,restore,6,-0.0013020833333333333,-0.0003255208333333333,-0.0009765625,3
